"drivers_id";"driver_type";"primary_site";"cancer_type";"method"
1;"cancer";"blood";"multiple_myeloma";"dNdScv"
2;"cancer";"multiple";"pan-cancer_adult";"PanSoftWare"
3;"cancer";"multiple";"";"-"
4;"cancer";"blood";"diffuse_large_B-cell_lymphoma";"MutSig"
5;"cancer";"multiple";"pan-cancer_paediatric";"GRIN, MutSig"
6;"cancer";"multiple";"";"-"
7;"cancer";"multiple";"";"-"
8;"cancer";"multiple";"pan-cancer_adult";"MutSig"
9;"cancer";"multiple";"pan-cancer_adult";"OncodriveFML"
10;"cancer";"blood";"dlblc, follicular_lymphoma";"Paper-specific"
11;"cancer";"lung";"small_cell_lung_cancer";"Wood-based"
12;"cancer";"hepatobiliary";"cholangiocarcinoma";"MutSig"
13;"cancer";"multiple";"pan-cancer_adult";"ncDriver"
14;"cancer";"multiple";"pan-cancer_adult";"OncodriveFML"
15;"cancer";"multiple";"pan-cancer_adult";"OncodriveFML"
16;"cancer";"head_and_neck";"squamous_head_and_neck_cancer";"MutSig"
17;"cancer";"esophagus";"esophageal_adenocarcinoma";"dNdScv, ActiveDriverWGS, MutSig2CV, OncodriveFM, OncodriveClust, eDriver, eDriver3D"
18;"cancer";"colorectal";"colorectal_adenocarcinoma";"MutSig"
19;"cancer";"multiple";"";"-"
20;"cancer";"colorectal";"colorectal_adenocarcinoma";"MutSig"
21;"cancer";"multiple";"pan-cancer_adult";"ExInAtor"
22;"cancer";"blood";"diffuse_large_B-cell_lymphoma";"MutSig"
23;"cancer";"small_intestine";"ampullary_adenocarcinoma";"MutSig"
24;"cancer";"multiple";"pan-cancer_paediatric";"GRIN, MutSig"
25;"cancer";"prostate";"prostate_cancer";"Paper-specific"
26;"cancer";"stomach";"gastric_adenocarcinoma";"Recurrence-based"
27;"cancer";"bladder";"bladder_cancer";"MutSig"
28;"cancer";"hepatobiliary";"cholangiocarcinoma";"MutSigCV, IntOGen"
29;"cancer";"breast";"breast_cancer";"MutSig"
30;"cancer";"blood";"multiple_myeloma";"dNdScv"
31;"cancer";"multiple";"pan-cancer_adult";"ncdDetect"
32;"cancer";"multiple";"pan-cancer_adult";"PanSoftWare"
33;"cancer";"multiple";"pan-cancer_paediatric";"GRIN, MutSig"
34;"cancer";"brain";"diffuse_intrinsic_pontine_glioma";"Recurrence-based"
35;"cancer";"hepatobiliary";"hepatocellular_carcinoma";"MutSig"
36;"cancer";"brain";"astrocytoma";"Recurrence-based"
37;"cancer";"breast";"breast_cancer";"MutSig"
38;"cancer";"multiple";"pan-cancer_adult";"OncodriveFML"
39;"cancer";"multiple";"";"-"
40;"cancer";"multiple";"pan-cancer_paediatric";"MuSiC"
41;"cancer";"hepatobiliary";"hepatocellular_carcinoma, cholangiocarcinoma";"Literature-based"
42;"cancer";"brain";"diffuse_intrinsic_pontine_glioma";"Recurrence-based"
43;"cancer";"multiple";"pan-cancer_adult";"MuSiC"
44;"cancer";"multiple";"pan-cancer_adult";"ncdDetect"
45;"cancer";"brain";"paediatric_high-grade_glioma";"Recurrence-based"
46;"cancer";"multiple";"pan-cancer_adult";"ncdDetect"
47;"cancer";"pancreas";"pancreatic_cancer_(all_histologies)";"HOTNET2, OncodriveFM, MutSig"
48;"cancer";"multiple";"pan-cancer_adult";"MutSig"
49;"cancer";"colorectal";"colorectal_adenocarcinoma";"Recurrence-based"
50;"cancer";"multiple";"pan-cancer_adult";"OncodriveFML"
51;"cancer";"pan-gastric";"pan-gastric";"MutSig2CV"
52;"cancer";"brain";"glioblastoma";"InVEx, MutSig"
53;"cancer";"multiple";"pan-cancer_adult";"PanSoftWare"
54;"cancer";"multiple";"pan-cancer_adult";"OncodriveFML"
55;"cancer";"colorectal";"colorectal_adenocarcinoma";"MutSig"
56;"cancer";"brain";"pan-glioma";"MutSig"
57;"cancer";"esophagus";"esophageal_adenocarcinoma";"dNdScv, ActiveDriverWGS, MutSig2CV, OncodriveFM, OncodriveClust, eDriver, eDriver3D"
58;"cancer";"blood";"acute_lymphocytic_leukemia";"Recurrence-based"
59;"cancer";"breast";"breast_cancer";"Paper-specific"
60;"cancer";"pancreas";"pancreatic_cancer_(all_histologies)";"HOTNET2, OncodriveFM, MutSig"
61;"cancer";"small_intestine";"ampullary_adenocarcinoma";"MutSig"
62;"cancer";"multiple";"pan-cancer_adult";"ActiveDriverWGS, CompositeDriver, DriverPower, dNdScv, ExInAtor, LARVA, MutSig, NBR, ncdDetect, ncDriver, OncodriveFML, regDriver"
63;"cancer";"multiple";"pan-cancer_adult";"HOTNET2"
64;"cancer";"prostate";"prostate_cancer";"MutSig"
65;"cancer";"hepatobiliary";"cholangiocarcinoma";"MutSigCV, IntOGen"
66;"cancer";"multiple";"";""
67;"cancer";"breast";"breast_cancer";"Recurrence-based"
68;"cancer";"breast";"breast_cancer";"Wood-based"
69;"cancer";"lung";"lung_cancer_(all_histologies)";"Wood-based"
70;"cancer";"multiple";"pan-cancer_adult";"MuSiC"
71;"cancer";"multiple";"pan-cancer_adult";"PanSoftWare"
72;"cancer";"colorectal";"colorectal_adenocarcinoma";"Wood-based"
73;"cancer";"multiple";"pan-cancer_adult";"MutSig"
74;"cancer";"breast";"breast_cancer";"MutSig"
75;"cancer";"multiple";"pan-cancer_adult";"OncodriveFML"
76;"cancer";"multiple";"pan-cancer_adult";"DriverPower"
77;"cancer";"breast";"breast_cancer";"Greenman-based"
78;"cancer";"colorectal";"colorectal_adenocarcinoma";"Recurrence-based"
79;"cancer";"prostate";"prostate_cancer";"MutSig"
80;"cancer";"multiple";"pan-cancer_adult";"ActiveDriverWGS, CompositeDriver, DriverPower, dNdScv, ExInAtor, LARVA, MutSig, NBR, ncdDetect, ncDriver, OncodriveFML, regDriver"
81;"cancer";"soft_tissue";"angiosarcoma";"Greenman-based"
82;"cancer";"pan-gynecological and breast";"pan-gynecological and breast";"MutSigCV, 20/20"
83;"cancer";"multiple";"";"-"
84;"cancer";"multiple";"";"-"
85;"cancer";"breast";"breast_cancer";"MuSiC"
86;"cancer";"small_intestine";"ampullary_adenocarcinoma";"Recurrence-based"
87;"cancer";"breast";"breast_cancer";"MutSig"
88;"cancer";"pancreas";"pancreatic_cancer_(all_histologies)";"HOTNET2, OncodriveFM, MutSig"
89;"cancer";"breast";"triple_negative_breast_cancer";"Recurrence-based, Paper-specific"
