"entrez";"symbol";"pubmed_id";"organ_system";"driver_type";"drivers_id";"Entry"
23;"ABCF1";31444325;"Hematologic and lymphatic";"cancer";1;"Q8NE71"
25;"ABL1";29625053;"Multiple";"cancer";2;"P00519"
25;"ABL1";14993899;"Multiple";"cancer";3;"P00519"
102;"ADAM10";22343534;"Hematologic and lymphatic";"cancer";4;"O14672"
25;"ABL1";29489755;"Multiple";"cancer";5;"P00519"
25;"ABL1";23539594;"Multiple";"cancer";6;"P00519"
27;"ABL2";14993899;"Multiple";"cancer";7;"P42684"
48;"ACO1";24390350;"Multiple";"cancer";8;"P21399"
102;"ADAM10";27311963;"Multiple";"cancer";9;"O14672"
60;"ACTB";30606723;"Hematologic and lymphatic";"cancer";10;"P60709"
107;"ADCY1";22941189;"Thoracic";"cancer";11;"Q08828"
324;"APC";28297679;"Developmental gastrointestinal";"cancer";12;"P25054"
108;"ADCY2";29354286;"Multiple";"cancer";13;"Q08462"
109;"ADCY3";27311963;"Multiple";"cancer";14;"O60266"
111;"ADCY5";27311963;"Multiple";"cancer";15;"O95622"
114;"ADCY8";21798893;"Head and neck";"cancer";16;"P40145"
324;"APC";30718927;"Core gastrointestinal";"cancer";17;"P25054"
119;"ADD2";27149842;"Core gastrointestinal";"cancer";18;"P35612"
324;"APC";14993899;"Multiple";"cancer";19;"P25054"
324;"APC";27149842;"Core gastrointestinal";"cancer";20;"P25054"
60;"ACTB";28128360;"Multiple";"cancer";21;"P60709"
60;"ACTB";22343534;"Hematologic and lymphatic";"cancer";22;"P60709"
324;"APC";26804919;"Core gastrointestinal";"cancer";23;"P25054"
60;"ACTB";29489755;"Multiple";"cancer";24;"P60709"
324;"APC";22722839;"Urologic";"cancer";25;"P25054"
324;"APC";29945994;"Core gastrointestinal";"cancer";26;"P25054"
60;"ACTB";28988769;"Urologic";"cancer";27;"P60709"
324;"APC";28667006;"Developmental gastrointestinal";"cancer";28;"P25054"
71;"ACTG1";26451490;"Gynecologic";"cancer";29;"P63261"
71;"ACTG1";31444325;"Hematologic and lymphatic";"cancer";30;"P63261"
119;"ADD2";28362259;"Multiple";"cancer";31;"P35612"
90;"ACVR1";29625053;"Multiple";"cancer";32;"Q04771"
120;"ADD3";29489755;"Multiple";"cancer";33;"Q9UEY8"
90;"ACVR1";24705254;"Soft tissue";"cancer";34;"Q04771"
125;"ADH1B";25362482;"Developmental gastrointestinal";"cancer";35;"P00325"
90;"ACVR1";24705250;"Soft tissue";"cancer";36;"Q04771"
143;"PARP4";26451490;"Gynecologic";"cancer";37;"Q9UKK3"
147;"ADRA1B";27311963;"Multiple";"cancer";38;"P35368"
90;"ACVR1";14993899;"Multiple";"cancer";39;"Q04771"
90;"ACVR1";29489754;"Multiple";"cancer";40;"Q04771"
148;"ADRA1A";27064257;"Developmental gastrointestinal";"cancer";41;"P35348"
90;"ACVR1";24705252;"Soft tissue";"cancer";42;"Q04771"
324;"APC";24132290;"Multiple";"cancer";43;"P25054"
155;"ADRB3";28362259;"Multiple";"cancer";44;"P13945"
90;"ACVR1";24705251;"Soft tissue";"cancer";45;"Q04771"
160;"AP2A1";28362259;"Multiple";"cancer";46;"O95782"
91;"ACVR1B";26909576;"Developmental gastrointestinal";"cancer";47;"P36896"
324;"APC";24390350;"Multiple";"cancer";48;"P25054"
324;"APC";22327622;"Core gastrointestinal";"cancer";49;"P25054"
162;"AP1B1";27311963;"Multiple";"cancer";50;"Q10567"
324;"APC";29622466;"Core gastrointestinal";"cancer";51;"P25054"
173;"AFM";24120142;"Soft tissue";"cancer";52;"P43652"
91;"ACVR1B";29625053;"Multiple";"cancer";53;"P36896"
324;"APC";27311963;"Multiple";"cancer";54;"P25054"
91;"ACVR1B";22810696;"Core gastrointestinal";"cancer";55;"P36896"
176;"ACAN";26824661;"Soft tissue";"cancer";56;"P16112"
91;"ACVR1B";30718927;"Core gastrointestinal";"cancer";57;"P36896"
182;"JAG1";25730765;"Hematologic and lymphatic";"cancer";58;"P78504"
324;"APC";27135926;"Gynecologic";"cancer";59;"P25054"
182;"JAG1";26909576;"Developmental gastrointestinal";"cancer";60;"P78504"
91;"ACVR1B";26804919;"Core gastrointestinal";"cancer";61;"P36896"
324;"APC";32025015;"Multiple";"cancer";62;"P25054"
182;"JAG1";25501392;"Multiple";"cancer";63;"P78504"
324;"APC";26000489;"Urologic";"cancer";64;"P25054"
91;"ACVR1B";28667006;"Developmental gastrointestinal";"cancer";65;"P36896"
324;"APC";32494066;"Multiple";"cancer";66;"P25054"
186;"AGTR2";27161491;"Gynecologic";"cancer";67;"P50052"
91;"ACVR1B";20668451;"Gynecologic";"cancer";68;"P36896"
187;"APLNR";20668451;"Thoracic";"cancer";69;"P35414"
91;"ACVR1B";24132290;"Multiple";"cancer";70;"P36896"
207;"AKT1";29625053;"Multiple";"cancer";71;"P31749"
324;"APC";22895193;"Core gastrointestinal";"cancer";72;"P25054"
91;"ACVR1B";24390350;"Multiple";"cancer";73;"P36896"
207;"AKT1";22722202;"Gynecologic";"cancer";74;"P31749"
91;"ACVR1B";27311963;"Multiple";"cancer";75;"P36896"
324;"APC";32024818;"Multiple";"cancer";76;"P25054"
324;"APC";22722201;"Gynecologic";"cancer";77;"P25054"
324;"APC";28551381;"Core gastrointestinal";"cancer";78;"P25054"
207;"AKT1";22610119;"Urologic";"cancer";79;"P31749"
91;"ACVR1B";32025015;"Multiple";"cancer";80;"P36896"
207;"AKT1";24633157;"Soft tissue";"cancer";81;"P31749"
207;"AKT1";29622464;"Gynecologic";"cancer";82;"P31749"
324;"APC";23539594;"Multiple";"cancer";83;"P25054"
91;"ACVR1B";23539594;"Multiple";"cancer";84;"P36896"
207;"AKT1";23000897;"Gynecologic";"cancer";85;"P31749"
91;"ACVR1B";26806338;"Core gastrointestinal";"cancer";86;"P36896"
207;"AKT1";26451490;"Gynecologic";"cancer";87;"P31749"
92;"ACVR2A";26909576;"Developmental gastrointestinal";"cancer";88;"P27037"
324;"APC";26939876;"Gynecologic";"cancer";89;"P25054"
324;"APC";26806338;"Core gastrointestinal";"cancer";90;"P25054"
207;"AKT1";23348505;"Soft tissue";"cancer";91;"P31749"
324;"APC";26099045;"Gynecologic";"cancer";92;"P25054"
324;"APC";26998897;"Core gastrointestinal";"cancer";93;"P25054"
92;"ACVR2A";29625053;"Multiple";"cancer";94;"P27037"
92;"ACVR2A";29622464;"Gynecologic";"cancer";95;"P27037"
207;"AKT1";14993899;"Multiple";"cancer";96;"P31749"
207;"AKT1";27348297;"Gynecologic";"cancer";97;"P31749"
207;"AKT1";20668451;"Gynecologic";"cancer";98;"P31749"
92;"ACVR2A";22810696;"Core gastrointestinal";"cancer";99;"P27037"
92;"ACVR2A";30718927;"Core gastrointestinal";"cancer";100;"P27037"
330;"BIRC3";30606723;"Hematologic and lymphatic";"cancer";101;"Q13489"
92;"ACVR2A";27064257;"Developmental gastrointestinal";"cancer";102;"P27037"
330;"BIRC3";14993899;"Multiple";"cancer";103;"Q13489"
207;"AKT1";24132290;"Multiple";"cancer";104;"P31749"
330;"BIRC3";29354286;"Multiple";"cancer";105;"Q13489"
466;"ATF1";14993899;"Multiple";"cancer";106;"P18846"
92;"ACVR2A";27064257;"Developmental gastrointestinal";"cancer";107;"P27037"
330;"BIRC3";26466571;"Hematologic and lymphatic";"cancer";108;"Q13489"
92;"ACVR2A";14993899;"Multiple";"cancer";109;"P27037"
338;"APOB";29625053;"Multiple";"cancer";110;"P04114"
207;"AKT1";24390350;"Multiple";"cancer";111;"P31749"
207;"AKT1";28027327;"Gynecologic";"cancer";112;"P31749"
92;"ACVR2A";27149842;"Core gastrointestinal";"cancer";113;"P27037"
