"drivers_id";"driver_type"
8820;"healthy"
8828;"healthy"
8831;"healthy"
8833;"healthy"
8836;"healthy"
8838;"healthy"
8840;"healthy"
8842;"healthy"
8845;"healthy"
8848;"healthy"
8851;"healthy"
8853;"healthy"
8855;"healthy"
8857;"healthy"
8860;"healthy"
8863;"healthy"
8865;"healthy"
8866;"healthy"
8867;"healthy"
8868;"healthy"
8872;"healthy"
8873;"healthy"
8874;"healthy"
8875;"healthy"
8877;"healthy"
8879;"healthy"
8881;"healthy"
8882;"healthy"
8883;"healthy"
8884;"healthy"
8887;"healthy"
8888;"healthy"
8890;"healthy"
8892;"healthy"
8894;"healthy"
8896;"healthy"
8898;"healthy"
8900;"healthy"
8902;"healthy"
8904;"healthy"
8906;"healthy"
8908;"healthy"
8911;"healthy"
8913;"healthy"
8916;"healthy"
8918;"healthy"
8920;"healthy"
8922;"healthy"
8924;"healthy"
8926;"healthy"
8928;"healthy"
8930;"healthy"
8932;"healthy"
8935;"healthy"
8937;"healthy"
8939;"healthy"
8941;"healthy"
8943;"healthy"
8945;"healthy"
8947;"healthy"
8949;"healthy"
8951;"healthy"
8953;"healthy"
8955;"healthy"
8957;"healthy"
8959;"healthy"
8961;"healthy"
8963;"healthy"
8965;"healthy"
8967;"healthy"
8969;"healthy"
8971;"healthy"
8973;"healthy"
8975;"healthy"
8977;"healthy"
8978;"healthy"
8979;"healthy"
8983;"healthy"
8985;"healthy"
8987;"healthy"
8989;"healthy"
8991;"healthy"
8993;"healthy"
8995;"healthy"
8997;"healthy"
8999;"healthy"
9001;"healthy"
9003;"healthy"
9005;"healthy"
9007;"healthy"
9009;"healthy"
9011;"healthy"
9013;"healthy"
9015;"healthy"
9017;"healthy"
9018;"healthy"
9019;"healthy"
