"entrez";"symbol";"pubmed_id";"type";"organ_system";"primary_site";"cancer_type";"method";"coding_status";"cgc_annotation";"vogelstein_annotation";"saito_annotation";"NCG_oncogene";"NCG_tsg";"driver_type";"drivers_id"
23;"ABCF1";31444325;"WGS-WES";"Hematologic and lymphatic";"blood";"multiple_myeloma";"dNdScv";"coding";"";"";"";"";"";"cancer";1
25;"ABL1";29625053;"Pan-cancer";"Multiple";"multiple";"pan-cancer_adult";"PanSoftWare";"coding";"oncogene, fusion";"Oncogene";"";"1.0";"0.0";"cancer";2
25;"ABL1";14993899;"Canonical Cancer Driver";"Multiple";"multiple";"";"-";"";"oncogene, fusion";"Oncogene";"";"1.0";"0.0";"cancer";3
102;"ADAM10";22343534;"WES";"Hematologic and lymphatic";"blood";"diffuse_large_B-cell_lymphoma";"MutSig";"coding";"";"";"";"";"";"cancer";4
25;"ABL1";29489755;"Pan-cancer";"Multiple";"multiple";"pan-cancer_paediatric";"GRIN, MutSig";"coding";"oncogene, fusion";"Oncogene";"";"1.0";"0.0";"cancer";5
25;"ABL1";23539594;"Canonical Cancer Driver";"Multiple";"multiple";"";"-";"";"oncogene, fusion";"Oncogene";"";"1.0";"0.0";"cancer";6
27;"ABL2";14993899;"Canonical Cancer Driver";"Multiple";"multiple";"";"-";"";"oncogene, fusion";"";"";"1.0";"0.0";"cancer";7
48;"ACO1";24390350;"Pan-cancer";"Multiple";"multiple";"pan-cancer_adult";"MutSig";"coding";"";"";"";"";"";"cancer";8
102;"ADAM10";27311963;"WGS-WES";"Multiple";"multiple";"pan-cancer_adult";"OncodriveFML";"coding";"";"";"";"";"";"cancer";9
60;"ACTB";30606723;"WGS";"Hematologic and lymphatic";"blood";"dlblc, follicular_lymphoma";"Paper-specific";"noncoding";"";"";"";"";"";"cancer";10
107;"ADCY1";22941189;"WES";"Thoracic";"lung";"small_cell_lung_cancer";"Wood-based";"coding";"";"";"";"";"";"cancer";11
324;"APC";28297679;"WES";"Developmental gastrointestinal";"hepatobiliary";"cholangiocarcinoma";"MutSig";"coding";"TSG";"TSG";"TSG";"0.0";"1.0";"cancer";12
108;"ADCY2";29354286;"WGS";"Multiple";"multiple";"pan-cancer_adult";"ncDriver";"noncoding";"";"";"";"";"";"cancer";13
109;"ADCY3";27311963;"WGS-WES";"Multiple";"multiple";"pan-cancer_adult";"OncodriveFML";"coding";"";"";"";"";"";"cancer";14
111;"ADCY5";27311963;"WGS-WES";"Multiple";"multiple";"pan-cancer_adult";"OncodriveFML";"coding";"";"";"";"";"";"cancer";15
114;"ADCY8";21798893;"WES";"Head and neck";"head_and_neck";"squamous_head_and_neck_cancer";"MutSig";"coding";"";"";"";"";"";"cancer";16
324;"APC";30718927;"WGS-WES";"Core gastrointestinal";"esophagus";"esophageal_adenocarcinoma";"dNdScv, ActiveDriverWGS, MutSig2CV, OncodriveFM, OncodriveClust, eDriver, eDriver3D";"coding";"TSG";"TSG";"TSG";"0.0";"1.0";"cancer";17
119;"ADD2";27149842;"WES";"Core gastrointestinal";"colorectal";"colorectal_adenocarcinoma";"MutSig";"coding";"";"";"";"";"";"cancer";18
324;"APC";14993899;"Canonical Cancer Driver";"Multiple";"multiple";"";"-";"";"TSG";"TSG";"TSG";"0.0";"1.0";"cancer";19
324;"APC";27149842;"WES";"Core gastrointestinal";"colorectal";"colorectal_adenocarcinoma";"MutSig";"coding";"TSG";"TSG";"TSG";"0.0";"1.0";"cancer";20
60;"ACTB";28128360;"WGS";"Multiple";"multiple";"pan-cancer_adult";"ExInAtor";"coding";"";"";"";"";"";"cancer";21
60;"ACTB";22343534;"WES";"Hematologic and lymphatic";"blood";"diffuse_large_B-cell_lymphoma";"MutSig";"coding";"";"";"";"";"";"cancer";22
324;"APC";26804919;"WES";"Core gastrointestinal";"small_intestine";"ampullary_adenocarcinoma";"MutSig";"coding";"TSG";"TSG";"TSG";"0.0";"1.0";"cancer";23
60;"ACTB";29489755;"Pan-cancer";"Multiple";"multiple";"pan-cancer_paediatric";"GRIN, MutSig";"coding";"";"";"";"";"";"cancer";24
324;"APC";22722839;"WES";"Urologic";"prostate";"prostate_cancer";"Paper-specific";"coding";"TSG";"TSG";"TSG";"0.0";"1.0";"cancer";25
324;"APC";29945994;"WES";"Core gastrointestinal";"stomach";"gastric_adenocarcinoma";"Recurrence-based";"coding";"TSG";"TSG";"TSG";"0.0";"1.0";"cancer";26
60;"ACTB";28988769;"WES";"Urologic";"bladder";"bladder_cancer";"MutSig";"coding";"";"";"";"";"";"cancer";27
324;"APC";28667006;"WGS-WES-Gene Panel";"Developmental gastrointestinal";"hepatobiliary";"cholangiocarcinoma";"MutSigCV, IntOGen";"coding";"TSG";"TSG";"TSG";"0.0";"1.0";"cancer";28
71;"ACTG1";26451490;"WES";"Gynecologic";"breast";"breast_cancer";"MutSig";"coding";"";"";"";"";"";"cancer";29
71;"ACTG1";31444325;"WGS-WES";"Hematologic and lymphatic";"blood";"multiple_myeloma";"dNdScv";"coding";"";"";"";"";"";"cancer";30
119;"ADD2";28362259;"WGS";"Multiple";"multiple";"pan-cancer_adult";"ncdDetect";"noncoding";"";"";"";"";"";"cancer";31
90;"ACVR1";29625053;"Pan-cancer";"Multiple";"multiple";"pan-cancer_adult";"PanSoftWare";"coding";"oncogene";"";"";"1.0";"0.0";"cancer";32
120;"ADD3";29489755;"Pan-cancer";"Multiple";"multiple";"pan-cancer_paediatric";"GRIN, MutSig";"coding";"";"";"";"";"";"cancer";33
90;"ACVR1";24705254;"WGS-WES";"Soft tissue";"brain";"diffuse_intrinsic_pontine_glioma";"Recurrence-based";"coding";"oncogene";"";"";"1.0";"0.0";"cancer";34
