"AC_m";"id_pos";"AC_p"
"PS00962";13745;"A0A8I5KQE6"
"PS00963";13747;"A0A8I5KQE6"
"PS01208";12576;"A1KZ92"
"PS50184";12574;"A1KZ92"
"PS50292";12572;"A1KZ92"
"PS50835";12565;"A1KZ92"
"PS50835";12566;"A1KZ92"
"PS50835";12568;"A1KZ92"
"PS50835";12570;"A1KZ92"
"PS51450";12555;"A1KZ92"
"PS51450";12557;"A1KZ92"
"PS51450";12559;"A1KZ92"
"PS51450";12561;"A1KZ92"
"PS51450";12562;"A1KZ92"
"PS51450";12564;"A1KZ92"
"PS51808";13766;"A1L188"
"PS00134";13992;"A1L453"
"PS00135";13993;"A1L453"
"PS50240";13991;"A1L453"
"PS51154";12763;"A1Z1Q3"
"PS00383";12615;"A2A3K4"
"PS50054";12610;"A2A3K4"
"PS50056";12612;"A2A3K4"
"PS00028";13092;"A4D1E1"
"PS51389";12843;"A4UGR9"
"PS51389";12846;"A4UGR9"
"PS51389";12850;"A4UGR9"
"PS51389";12853;"A4UGR9"
"PS51389";12856;"A4UGR9"
"PS51389";12859;"A4UGR9"
"PS51389";12863;"A4UGR9"
"PS51389";12867;"A4UGR9"
"PS51389";12871;"A4UGR9"
"PS51389";12874;"A4UGR9"
"PS51389";12877;"A4UGR9"
"PS51389";12895;"A4UGR9"
"PS51389";12899;"A4UGR9"
"PS51389";12902;"A4UGR9"
"PS51389";12906;"A4UGR9"
"PS51389";12908;"A4UGR9"
"PS51389";12910;"A4UGR9"
"PS51389";12913;"A4UGR9"
"PS51389";12916;"A4UGR9"
"PS51389";12918;"A4UGR9"
"PS51389";12923;"A4UGR9"
"PS51389";12926;"A4UGR9"
"PS51389";12929;"A4UGR9"
"PS51389";12933;"A4UGR9"
"PS51389";12935;"A4UGR9"
"PS51389";12938;"A4UGR9"
"PS51389";12942;"A4UGR9"
"PS51389";12945;"A4UGR9"
"PS00307";8168;"A5YKK6"
"PS00867";10575;"A5YM72"
"PS50975";10574;"A5YM72"
"PS00232";13787;"A6H8M9"
"PS50268";13781;"A6H8M9"
"PS50268";13783;"A6H8M9"
"PS50268";13785;"A6H8M9"
"PS50086";13872;"A6NDS4"
"PS00478";12698;"A6NIX2"
"PS00478";12704;"A6NIX2"
"PS50023";12695;"A6NIX2"
"PS50023";12701;"A6NIX2"
"PS50023";12707;"A6NIX2"
"PS00027";14006;"A6NJT0"
"PS50071";14005;"A6NJT0"
"PS50005";13311;"A6NKT7"
"PS50196";13316;"A6NKT7"
"PS50196";13319;"A6NKT7"
"PS50293";13308;"A6NKT7"
"PS50913";13326;"A6NKT7"
"PS50071";13955;"A6NLW8"
"PS50071";13958;"A6NLW8"
"PS50234";12464;"A6NMZ7"
"PS50234";12953;"A6NMZ7"
"PS50234";12955;"A6NMZ7"
"PS50234";12957;"A6NMZ7"
"PS50234";12962;"A6NMZ7"
"PS50234";12965;"A6NMZ7"
"PS50234";12968;"A6NMZ7"
"PS50234";12972;"A6NMZ7"
"PS50234";12975;"A6NMZ7"
"PS51292";13921;"A6NNE9"
"PS50096";12748;"A6PVS8"
"PS51450";12737;"A6PVS8"
"PS51450";12741;"A6PVS8"
"PS51450";12744;"A6PVS8"
"PS50088";12567;"A6QL63"
"PS50088";12571;"A6QL63"
"PS50088";12573;"A6QL63"
"PS50097";12575;"A6QL63"
"PS50297";12569;"A6QL63"
"PS50088";13616;"A6QL64"
"PS50088";13617;"A6QL64"
"PS50088";13618;"A6QL64"
"PS50088";13620;"A6QL64"
"PS50088";13622;"A6QL64"
"PS50297";13615;"A6QL64"
"PS00141";13291;"A7E2S9"
"PS50088";13288;"A7E2S9"
"PS50088";13294;"A7E2S9"
"PS50088";13297;"A7E2S9"
"PS50297";13284;"A7E2S9"
"PS50002";7438;"A7KAX9"
"PS50238";7440;"A7KAX9"
"PS50156";12245;"A7MBM2"
"PS51905";7480;"A7MCY6"
"PS00477";12841;"A8K2U0"
"PS50835";13320;"A8MVW5"
"PS50835";13322;"A8MVW5"
"PS00028";5860;"A8MXY4"
"PS00028";5863;"A8MXY4"
"PS00028";5868;"A8MXY4"
"PS00028";5870;"A8MXY4"
"PS00028";5876;"A8MXY4"
"PS00028";5880;"A8MXY4"
"PS00028";5881;"A8MXY4"
"PS00028";5887;"A8MXY4"
"PS00028";5891;"A8MXY4"
"PS00028";5895;"A8MXY4"
"PS00028";5898;"A8MXY4"
"PS00028";5902;"A8MXY4"
"PS00028";5905;"A8MXY4"
"PS00028";5909;"A8MXY4"
"PS00028";5913;"A8MXY4"
"PS00028";5915;"A8MXY4"
"PS00028";5919;"A8MXY4"
"PS00028";5921;"A8MXY4"
"PS00028";6326;"A8MXY4"
"PS00028";6339;"A8MXY4"
"PS00028";6346;"A8MXY4"
"PS50157";5859;"A8MXY4"
"PS50157";5861;"A8MXY4"
"PS50157";5864;"A8MXY4"
"PS50157";5866;"A8MXY4"
"PS50157";5872;"A8MXY4"
"PS50157";5874;"A8MXY4"
"PS50157";5878;"A8MXY4"
"PS50157";5883;"A8MXY4"
"PS50157";5885;"A8MXY4"
"PS50157";5889;"A8MXY4"
"PS50157";5893;"A8MXY4"
"PS50157";5896;"A8MXY4"
"PS50157";5900;"A8MXY4"
"PS50157";5903;"A8MXY4"
"PS50157";5907;"A8MXY4"
"PS50157";5911;"A8MXY4"
"PS50157";5917;"A8MXY4"
"PS50157";5918;"A8MXY4"
"PS50157";5920;"A8MXY4"
"PS50157";6324;"A8MXY4"
"PS50157";6328;"A8MXY4"
"PS50157";6337;"A8MXY4"
"PS50157";6341;"A8MXY4"
"PS50157";6343;"A8MXY4"
"PS50805";6320;"A8MXY4"
"PS51456";10887;"B0I1T2"
"PS51757";10888;"B0I1T2"
"PS00678";12801;"B1ANS9"
"PS50082";12794;"B1ANS9"
"PS50082";12797;"B1ANS9"
"PS50082";12803;"B1ANS9"
"PS50294";12791;"B1ANS9"
"PS50294";12805;"B1ANS9"
"PS00479";3696;"B2RTY4"
"PS50081";3693;"B2RTY4"
"PS50096";3682;"B2RTY4"
"PS50096";3686;"B2RTY4"
"PS50096";3687;"B2RTY4"
"PS50096";3689;"B2RTY4"
"PS50200";3671;"B2RTY4"
"PS50238";3707;"B2RTY4"
"PS51456";3679;"B2RTY4"
"PS50088";13652;"B2RU33"
"PS50088";13655;"B2RU33"
"PS50088";13657;"B2RU33"
"PS50088";13659;"B2RU33"
"PS50088";13661;"B2RU33"
"PS50297";13649;"B2RU33"
"PS00028";13382;"B7Z6K7"
"PS00028";13403;"B7Z6K7"
"PS00028";13410;"B7Z6K7"
"PS00028";13415;"B7Z6K7"
"PS00028";13421;"B7Z6K7"
"PS00028";13426;"B7Z6K7"
"PS00028";13432;"B7Z6K7"
"PS00028";13437;"B7Z6K7"
"PS00028";13443;"B7Z6K7"
"PS00028";13449;"B7Z6K7"
"PS00028";13454;"B7Z6K7"
"PS00028";13460;"B7Z6K7"
"PS00028";13465;"B7Z6K7"
"PS00028";13469;"B7Z6K7"
"PS00028";13501;"B7Z6K7"
"PS00028";13505;"B7Z6K7"
"PS00028";13509;"B7Z6K7"
"PS00028";13515;"B7Z6K7"
"PS00028";13519;"B7Z6K7"
"PS00028";13524;"B7Z6K7"
"PS00028";13528;"B7Z6K7"
"PS00028";13533;"B7Z6K7"
"PS00028";13538;"B7Z6K7"
"PS50157";13384;"B7Z6K7"
"PS50157";13387;"B7Z6K7"
"PS50157";13407;"B7Z6K7"
"PS50157";13412;"B7Z6K7"
"PS50157";13418;"B7Z6K7"
"PS50157";13423;"B7Z6K7"
"PS50157";13429;"B7Z6K7"
"PS50157";13435;"B7Z6K7"
"PS50157";13440;"B7Z6K7"
"PS50157";13446;"B7Z6K7"
"PS50157";13451;"B7Z6K7"
"PS50157";13457;"B7Z6K7"
"PS50157";13463;"B7Z6K7"
"PS50157";13467;"B7Z6K7"
"PS50157";13472;"B7Z6K7"
"PS50157";13503;"B7Z6K7"
"PS50157";13507;"B7Z6K7"
"PS50157";13513;"B7Z6K7"
"PS50157";13517;"B7Z6K7"
"PS50157";13521;"B7Z6K7"
"PS50157";13526;"B7Z6K7"
"PS50157";13530;"B7Z6K7"
"PS50157";13535;"B7Z6K7"
"PS50805";13380;"B7Z6K7"
"PS00290";13770;"B9A064"
"PS50835";13768;"B9A064"
"PS00107";5423;"O00141"
