"id_posizione";"start";"stop"
1;304;548
2;452;466
3;644;655
4;653;664
5;2855;2875
6;3024;3056
7;625;840
8;743;757
9;61;121
10;127;217
11;653;664
12;242;493
13;667;691
14;667;703
15;682;693
16;691;702
17;248;271
18;376;382
19;351;357
20;359;371
21;691;702
22;473;479
23;107;167
24;387;393
25;173;263
26;396;405
27;705;741
28;720;731
29;729;740
30;288;539
31;294;317
32;390;399
33;405;417
34;429;445
35;495;508
36;53;63
37;729;740
38;744;780
39;391;401
40;768;779
41;44;215
42;104;116
43;768;779
44;805;839
45;782;806
46;782;818
47;1640;2185
48;2296;2604
49;797;808
50;2460;2480
51;2612;2644
52;159;296
53;1581;1768
54;2025;2205
55;806;817
56;806;817
57;820;844
58;820;856
59;835;846
60;844;855
61;61;318
62;130;146
63;45;309
64;115;131
65;5;108
66;150;408
67;156;189
68;270;282
69;409;480
70;5;108
71;152;409
72;158;191
73;271;283
74;5;354
75;242;253
76;410;481
77;516;572
78;19;210
79;1575;1673
80;207;292
81;185;209
82;278;284
83;211;403
84;25;113
85;377;401
86;404;601
87;575;599
88;99;335
89;474;700
90;98;104
91;605;619
92;30;159
93;222;232
94;264;427
95;478;636
96;291;343
97;345;398
98;400;453
99;455;508
100;1116;1392
101;501;571
102;1122;1150
103;816;868
104;1245;1257
105;877;1151
106;1276;1284
107;1139;1154
108;2;114
109;50;86
110;66;75
111;219;234
112;57;188
113;114;663
114;355;369
115;382;392
116;534;540
117;2;119
118;119;701
119;393;407
120;427;459
121;427;525
122;460;492
123;420;430
124;493;525
125;572;578
126;570;653
127;667;777
128;59;73
129;96;112
130;63;160
131;24;240
132;99;118
133;210;271
134;622;695
135;63;69
136;228;257
137;277;497
138;28;116
139;447;459
140;177;205
141;11;786
142;77;109
143;110;142
144;143;167
145;205;237
146;38;123
147;151;162
148;57;88
149;238;270
150;10;30
151;11;30
152;185;213
153;1;58
154;271;303
155;59;108
156;304;336
157;337;369
158;370;402
159;93;107
160;403;435
161;97;197
162;436;468
163;137;155
164;469;501
165;188;199
166;197;480
167;502;534
168;134;170
169;222;263
170;305;336
171;373;387
172;439;470
173;376;482
174;535;567
175;568;592
176;601;633
177;134;359
178;634;666
179;171;203
180;321;428
181;241;273
182;275;307
183;308;340
184;667;699
185;32;99
186;700;732
187;518;546
188;733;765
189;913;1068
190;1070;1216
191;520;541
192;546;573
193;1403;1487
194;30;813
195;63;95
196;548;568
197;96;128
198;574;601
199;129;161
200;576;596
201;232;264
202;602;629
203;265;297
204;604;624
205;298;330
206;630;657
207;632;652
208;658;681
209;660;681
210;498;691
211;115;148
212;331;363
213;115;148
214;499;532
215;499;770
216;567;600
217;601;634
218;639;664
219;364;396
220;635;668
221;397;429
222;430;462
223;463;495
224;496;528
225;529;561
226;708;866
227;562;594
228;893;1020
229;595;627
230;628;660
231;1054;1248
232;84;201
233;661;693
234;512;522
235;575;602
236;669;702
237;577;597
238;703;736
239;603;630
240;694;726
241;737;770
242;605;625
243;1;176
244;631;658
245;180;262
246;727;759
247;633;653
248;250;260
249;659;686
250;263;375
251;363;373
252;376;486
253;487;595
254;583;593
255;661;681
256;58;118
257;124;220
258;241;494
259;247;269
260;760;792
261;968;1156
262;1158;1304
263;594;702
264;2528;2535
265;676;851
266;3569;3653
267;40;815
268;790;799
269;73;105
270;877;1024
271;1212;1292
272;335;454
273;371;386
274;312;431
275;106;138
276;348;363
277;225;266
278;139;171
279;172;195
280;225;480
281;234;266
282;309;350
283;267;299
284;373;387
285;439;480
286;204;233
287;458;472
288;160;267
289;255;265
290;268;382
291;234;525
292;240;261
293;358;370
294;203;504
295;209;230
296;370;380
297;70;173
298;383;497
299;35;138
300;498;605
301;37;46
302;593;603
303;110;134
304;151;255
305;604;710
306;79;159
307;887;944
308;147;157
309;160;268
310;256;266
311;2899;2914
312;7197;7232
313;7210;7222
314;7233;7268
315;269;383
316;7246;7258
317;300;332
318;7273;7351
319;384;488
320;333;365
321;54;67
322;476;486
323;366;398
324;54;148
325;399;431
326;488;610
327;87;167
328;98;104
329;155;165
330;24;65
331;168;276
332;432;464
333;39;48
334;465;497
335;1642;1736
336;498;530
337;1756;1855
338;531;563
339;564;596
340;264;274
341;597;629
342;277;391
343;630;662
344;663;695
345;392;496
346;484;494
347;696;728
348;496;618
349;79;159
350;147;157
351;160;268
352;269;383
353;384;488
354;729;761
355;476;486
356;488;605
357;762;794
358;984;1139
359;1141;1288
360;4090;4174
361;385;394
362;33;104
363;50;102
364;105;176
365;122;174
366;80;160
367;155;227
368;234;280
369;189;261
370;235;280
371;207;259
372;457;717
373;148;158
374;161;269
375;257;267
376;270;384
377;385;489
378;477;487
379;489;603
380;265;336
381;463;483
382;79;159
383;282;334
384;572;584
385;5;92
386;1002;1036
387;44;52
388;1212;1246
389;147;157
390;236;421
391;1421;1455
392;160;268
393;806;841
394;1517;1551
395;660;702
396;1664;1698
397;1837;1871
398;29;96
399;32;97
400;1971;2005
401;169;235
