entrez,symbol,pubmed_id,type,organ_system,primary_site,cancer_type,method,coding_status,cgc_annotation,vogelstein_annotation,saito_annotation,NCG_oncogene,NCG_tsg,driver_type
23,ABCF1,31444325,WGS-WES,Hematologic and lymphatic,blood,multiple_myeloma,dNdScv,coding,,,,,,cancer
25,ABL1,29625053,Pan-cancer,Multiple,multiple,pan-cancer_adult,PanSoftWare,coding,"oncogene, fusion",Oncogene,,1.0,0.0,cancer
25,ABL1,14993899,Canonical Cancer Driver,Multiple,multiple,,-,,"oncogene, fusion",Oncogene,,1.0,0.0,cancer
25,ABL1,29489755,Pan-cancer,Multiple,multiple,pan-cancer_paediatric,"GRIN, MutSig",coding,"oncogene, fusion",Oncogene,,1.0,0.0,cancer
25,ABL1,23539594,Canonical Cancer Driver,Multiple,multiple,,-,,"oncogene, fusion",Oncogene,,1.0,0.0,cancer
27,ABL2,14993899,Canonical Cancer Driver,Multiple,multiple,,-,,"oncogene, fusion",,,1.0,0.0,cancer
48,ACO1,24390350,Pan-cancer,Multiple,multiple,pan-cancer_adult,MutSig,coding,,,,,,cancer
60,ACTB,30606723,WGS,Hematologic and lymphatic,blood,"dlblc, follicular_lymphoma",Paper-specific,noncoding,,,,,,cancer
60,ACTB,28128360,WGS,Multiple,multiple,pan-cancer_adult,ExInAtor,coding,,,,,,cancer
60,ACTB,22343534,WES,Hematologic and lymphatic,blood,diffuse_large_B-cell_lymphoma,MutSig,coding,,,,,,cancer
60,ACTB,29489755,Pan-cancer,Multiple,multiple,pan-cancer_paediatric,"GRIN, MutSig",coding,,,,,,cancer
60,ACTB,28988769,WES,Urologic,bladder,bladder_cancer,MutSig,coding,,,,,,cancer
71,ACTG1,26451490,WES,Gynecologic,breast,breast_cancer,MutSig,coding,,,,,,cancer
71,ACTG1,31444325,WGS-WES,Hematologic and lymphatic,blood,multiple_myeloma,dNdScv,coding,,,,,,cancer
90,ACVR1,29625053,Pan-cancer,Multiple,multiple,pan-cancer_adult,PanSoftWare,coding,oncogene,,,1.0,0.0,cancer
90,ACVR1,24705254,WGS-WES,Soft tissue,brain,diffuse_intrinsic_pontine_glioma,Recurrence-based,coding,oncogene,,,1.0,0.0,cancer
90,ACVR1,24705250,WES,Soft tissue,brain,astrocytoma,Recurrence-based,coding,oncogene,,,1.0,0.0,cancer
90,ACVR1,14993899,Canonical Cancer Driver,Multiple,multiple,,-,,oncogene,,,1.0,0.0,cancer
90,ACVR1,29489754,Pan-cancer,Multiple,multiple,pan-cancer_paediatric,MuSiC,coding,oncogene,,,1.0,0.0,cancer
90,ACVR1,24705252,WGS-WES,Soft tissue,brain,diffuse_intrinsic_pontine_glioma,Recurrence-based,coding,oncogene,,,1.0,0.0,cancer
90,ACVR1,24705251,WGS-WES,Soft tissue,brain,paediatric_high-grade_glioma,Recurrence-based,coding,oncogene,,,1.0,0.0,cancer
91,ACVR1B,26909576,WGS,Developmental gastrointestinal,pancreas,pancreatic_cancer_(all_histologies),"HOTNET2, OncodriveFM, MutSig",coding,,TSG,,0.0,1.0,cancer
91,ACVR1B,29625053,Pan-cancer,Multiple,multiple,pan-cancer_adult,PanSoftWare,coding,,TSG,,0.0,1.0,cancer
91,ACVR1B,22810696,WES,Core gastrointestinal,colorectal,colorectal_adenocarcinoma,MutSig,coding,,TSG,,0.0,1.0,cancer
